"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"Eastern Pennsylvania Mennonite Church","Evangelical Protestant","Mennonite/Amish Family","37","5,472","0.42"
"ECO: A Covenant Order of Evangelical Presbyterians","Evangelical Protestant","Presbyterian/Reformed Family","44","",""
"Ecumenical Catholic Communion","Other Christians","","2","86","0.01"
"Elim Fellowship","Evangelical Protestant","Pentecostal Family","35","",""
"Episcopal Church","Mainline Protestant","Anglican/Episcopal Family","320","67,048","5.16"
"Eritrean Orthodox Church","Orthodox","Eastern Liturgical (Orthodox) Family","1","300","0.02"
"Ethiopian Orthodox Church","Orthodox","Eastern Liturgical (Orthodox) Family","4","825","0.06"
"Evangelical Association of Reformed and Congregational Christian Churches","Evangelical Protestant","Presbyterian/Reformed Family","32","",""
"Evangelical Church of North America","Evangelical Protestant","Holiness Family","5","665","0.05"
"Evangelical Congregational Church","Evangelical Protestant","Methodist Family","109","",""
"Evangelical Covenant Church","Evangelical Protestant","Methodist Family","17","2,116","0.16"
"Evangelical Free Church of America","Evangelical Protestant","Methodist Family","61","",""
"Evangelical Friends Church International","Evangelical Protestant","Friends/Brethren Family","2","657","0.05"
"Evangelical Lutheran Church in America","Mainline Protestant","Lutheran Family","1,100","357,938","27.53"
"Evangelical Lutheran Conference and Ministerium of North America","Evangelical Protestant","","7","",""
"Evangelical Lutheran Synod","Evangelical Protestant","Lutheran Family","1","23","0.00"
"Evangelical Methodist Church","Evangelical Protestant","Methodist Family","3","",""
"Evangelical Presbyterian Church (1981)","Evangelical Protestant","Presbyterian/Reformed Family","70","",""
"Every Nation","Evangelical Protestant","","1","",""
"Federation of Zoroastrian Associations of North America","Other","Other Groups Family","2","",""
"Fellowship of Christian Assemblies","Evangelical Protestant","Pentecostal Family","1","",""
"Fellowship of Evangelical Churches","Evangelical Protestant","Mennonite/Amish Family","1","27","0.00"
"Fellowship of Fundamental Bible Churches","Evangelical Protestant","Methodist Family","2","",""
"Fellowship of Grace Brethren Churches","Mainline Protestant","Friends/Brethren Family","98","",""
"Free Methodist Church – USA","Evangelical Protestant","Holiness Family","51","4,216","0.32"
"Free Presbyterian Church of North America","Evangelical Protestant","Presbyterian/Reformed Family","2","",""
"Friends General Conference","Mainline Protestant","Friends/Brethren Family","82","9,380","0.72"
"Full Gospel Assemblies International","Evangelical Protestant","Pentecostal Family","23","",""
"Full Gospel Baptist Church Fellowship International","Black Protestant","Baptist Family","19","3,250","0.25"
"Full Gospel Christian Assemblies International","Evangelical Protestant","Pentecostal Family","46","9,336","0.72"
"General Association of General Baptists","Evangelical Protestant","Baptist Family","1","200","0.02"
"General Association of Regular Baptist Churches","Evangelical Protestant","Baptist Family","32","",""
"General Church of the New Jerusalem","Other Christians","Spiritualist Family","10","",""
"General Conference of the Church of God (Seventh Day)","Evangelical Protestant","Adventist Family","2","",""
"Georgian Orthodox Church in North America","Orthodox","Eastern Liturgical (Orthodox) Family","2","325","0.02"
"German Baptist Brethren","Evangelical Protestant","Friends/Brethren Family","1","41","0.00"
"Grace Communion International","Evangelical Protestant","","3","",""
"Grace Gospel Fellowship","Evangelical Protestant","Independent Fundamentalist Family","4","",""
"Greek Orthodox Archdiocese of America","Orthodox","Eastern Liturgical (Orthodox) Family","34","15,994","1.23"
"Higher Ground Always Abounding Assemblies","Evangelical Protestant","","2","",""
"Hindu, Traditional Temples","Hinduism","Hinduism Family","21","43,232","3.32"
"Hindu Yoga and Meditation","Hinduism","","44","24,969","1.92"
"Holy Orthodox Church in North America","Orthodox","Eastern Liturgical (Orthodox) Family","1","70","0.01"
"Hope Mennonite Fellowship","Evangelical Protestant","Mennonite/Amish Family","10","1,078","0.08"
